Gen,hypercube0,hypercube1,hypercube2,hypercube3
413,6.19E-08,0.010673269,0.074639094,0.006730187
414,6.19E-08,0.008858266,0.073818637,0.006730187
415,6.19E-08,0.007570258,0.073410079,0.006723824
416,6.19E-08,0.008722083,0.071877231,0.006730187
417,6.19E-08,0.007908692,0.071877231,0.006723824
418,6.19E-08,0.007706442,0.070209601,0.006723824
419,6.19E-08,0.007570258,0.068298118,0.006723824
420,6.19E-08,0.007570258,0.068298118,0.006695971
421,6.19E-08,0.007020082,0.065763813,0.006695971
422,6.19E-08,0.007020082,0.068113911,0.006695971
423,6.19E-08,0.005495233,0.065488051,0.006695971
424,6.19E-08,0.005495233,0.065268281,0.005284093
425,6.19E-08,0.005495233,0.062733976,0.005284093
426,6.19E-08,0.004416232,0.060108116,0.005290456
427,6.19E-08,0.004416232,0.060108116,0.005284093
428,6.19E-08,0.004416232,0.060108116,0.005256241
429,6.19E-08,0.004416232,0.060108116,0.00429745
430,6.19E-08,0.004416232,0.060108116,0.005256241
431,6.19E-08,0.003154825,0.060108116,0.004263234
432,6.19E-08,0.003154825,0.05698847,0.004263234
433,6.19E-08,0.002397398,0.05698847,0.004263234
434,6.19E-08,0.003154825,0.056757889,0.004261412
435,6.19E-08,0.002397398,0.056757889,0.004261412
436,6.19E-08,0.002293318,0.054776284,0.004261066
437,5.23E-08,0.002293318,0.054076858,0.002965896
438,5.23E-08,0.002034985,0.054076858,0.002965896
439,5.23E-08,0.002293318,0.053525853,0.002964075
440,5.23E-08,0.002034985,0.051656638,0.002963729
441,5.23E-08,0.002034985,0.051218023,0.002963729
442,5.23E-08,0.0019907,0.051656638,0.002963729
443,5.23E-08,0.0019907,0.049352562,0.002963729
444,5.23E-08,0.001811957,0.050667018,0.002963729
445,5.23E-08,0.001882363,0.050667018,0.002963729
446,5.23E-08,0.001325213,0.049352562,0.002963729
447,5.23E-08,0.001280927,0.048309118,0.002963729
448,5.23E-08,0.001102184,0.046005042,0.002963729
449,5.23E-08,0.001057898,0.046666512,0.002963729
450,5.23E-08,0.000919694,0.046005042,0.002083472
451,5.23E-08,0.00093163,0.046005042,0.002081304
452,5.23E-08,0.000887344,0.044308612,0.002081304
453,5.23E-08,0.000741089,0.04096353,0.002081304
454,5.23E-08,0.000741089,0.04332143,0.001660245
455,5.23E-08,0.000371227,0.04096353,0.001255553
456,5.23E-08,0.000517026,0.04096353,0.001255553
457,5.23E-08,0.000560899,0.04096353,0.001255553
458,5.23E-08,0.000371227,0.040894383,0.001255553
459,5.23E-08,0.000326941,0.039252338,0.000710638
460,5.23E-08,0.000326941,0.039252338,0.001255553
461,5.23E-08,0.000286811,0.038688171,0.000710638
462,5.23E-08,0.000242525,0.039183191,0.000710638
463,5.23E-08,0.000242525,0.036010743,0.000710638
464,5.23E-08,0.000242525,0.037507979,0.000482961
465,5.23E-08,0.000242525,0.036976979,0.000482961
466,4.57E-08,0.000158622,0.03459978,0.000482961
467,4.57E-08,0.000158622,0.03459978,0.000482961
468,4.57E-08,0.000158622,0.03357568,0.000482961
469,4.57E-08,0.000158622,0.03357568,0.000482961
